RESPONDENT,DATE,LOCATION,TREATMENT,PK Rank,CONCERN,CONCERN LEVEL,EGOISTIC,ALTRUISTIC,BIOSPHERIC,EFFICACY,IDEALS,CONCERN AVERAGE,LEARN,LETTER,MEETING,BEHAVIOR INTENTION AVERAGE,AGE,ETHNICITY,RESIDENCE,GENDER,MAILING LIST,DONATE,OBSERVED BEHAVIOR AVERAGE,AMOUNT ($),PE RANK ,BEACH CLOSED
101,12-Jul,Leddy Park,HH,NM,1,3,3,3,4,5,3,3.6,3,3,2,2.7,21,White,"Huntington, VT",Female,0,0,0.5,0,NO,No
102,12-Jul,Leddy Park,EH,DK,1,5,5,4,5,4,5,4.6,3,3,3,3,23,White,"Burlington, VT",Male,0,1,0.5,5,NO,No
103,12-Jul,Leddy Park,NM,NM,1,3,3,5,3,5,5,4.2,4,3,3,3.3,20,White,"Burlington, VT",Female,1,0,0.5,0,NM,No
104,12-Jul,Leddy Park,HH,PNS,1,5,5,5,5,5,5,5,5,5,5,5,52,White,"Burlington, VT",Female,0,1,0.5,5,MU,No
105,12-Jul,Leddy Park,EH,HH,1,5,5,4,4,4,5,4.4,4,3,4,3.7,20,White,"Burlington, VT",Female,1,0,0.5,0,NM,No
106,12-Jul,Leddy Park,NM,NM,1,1,1,3,2,3,3,2.4,2,1,2,1.7,33,White,"Burlington, VT",Male,0,0,0,0,HH,No
107,12-Jul,Leddy Park,HH,PNS,0,0,0,0,0,0,0,0,0,0,0,0,21,White,"Montague, MA",Male,1,0,0.5,0,NM,No
108,16-Jul,Leddy Park,EH,DK,0,0,0,0,0,0,0,0,0,0,0,0,23,White,"Belchertown, MA",Female,0,1,0.5,5,NO,Yes
109,16-Jul,Leddy Park,NM,NM,1,1,1,3,1,3,3,2.2,4,1,2,2.3,35,White,"Burlington, VT",Male,0,1,0.5,5,NO,Yes
110,16-Jul,Leddy Park,HH,DK,1,5,5,5,5,5,5,5,3,1,5,3,26,White,"Waterbury, VT",Male,1,0,0.5,0,NM,Yes
111,17-Jul,Oakledge Park,EH,DK,1,3,3,4,4,4,3,3.6,3,1,2,2,28,White,"Colchester, VT",Female,0,1,0.5,5,NO,No
112,16-Jul,North Beach,NM,EH,1,3,3,4,5,4,4,4,3,2,4,3,27,White/Native American,"Essex, VT",Female,1,0,0.5,0,NM,Yes
113,16-Jul,North Beach,HH,PNS,1,5,5,4,3,4,4,4,4,3,4,3.7,58,White,"Richmond, VT",Female,0,0,0,0,NM,Yes
114,16-Jul,North Beach,EH,HH,1,5,5,4,4,5,5,4.6,5,4,4,4.3,43,White,"South Burlington, VT",Male,1,0,0.5,0,NM,Yes
115,16-Jul,North Beach,NM,DK,1,3,3,3,3,4,4,3.4,3,1,2,2,49,White,"Burlington, VT",Male,1,0,0.5,0,NO,Yes
116,16-Jul,North Beach,HH,DK,1,5,5,4,4,5,3,4.2,4,4,2,3.3,21,White,"Colchester, VT",Female,1,0,0.5,0,NO,Yes
117,16-Jul,North Beach,EH,NM,1,5,5,5,5,5,4,4.8,3,3,2,2.7,63,White,"South Burlington, VT",Female,0,1,0.5,5,MU,Yes
118,16-Jul,North Beach,NM,PNS,1,3,3,4,5,5,4,4.2,3,2,2,2.3,28,White,"New York, NY",Male,0,1,0.5,5,NM,Yes
119,16-Jul,North Beach,HH,PNS,1,3,3,4,3,4,4,3.6,3,3,3,3,21,White/Asian,"Burlington, VT",Female,1,0,0.5,0,NO,Yes
120,17-Jul,Oakledge Park,EH,HH,1,3,3,2,4,3,4,3.2,2,2,3,2.3,29,White,"Burlington, VT",Male,1,0,0.5,0,NM,No
121,17-Jul,Oakledge Park,NM,DK,1,3,3,3,3,2,3,2.8,2,1,2,1.7,26,White,"Burlington, VT",Male,0,0,0,0,NM,No
122,17-Jul,Oakledge Park,HH,MU,1,5,3,5,5,5,5,4.6,3,3,4,3.3,65,White,"Burlington, VT",Male,0,1,0.5,5,MU,No
123,17-Jul,Oakledge Park,EH,PNS,1,1,5,1,2,3,4,3,2,1,1,1.3,57,White,"South Burlington, VT",Male,0,0,0,0,NM,No
124,17-Jul,Oakledge Park,NM,MU,1,5,1,5,5,5,5,4.2,4,4,4,4,47,White,"Burlington, VT",Female,1,0,0.5,0,NM,No
125,17-Jul,Oakledge Park,HH,NM,1,3,5,4,4,4,4,4.2,2,2,1,1.7,36,White,"Somerville, MA",Female,1,0,0.5,0,NM,No
126,17-Jul,Oakledge Park,EH,MU,1,3,3,4,4,4,5,4,4,3,4,3.7,75,White,"Burlington, VT",Male,1,1,1,5,NM,No
127,17-Jul,Oakledge Park,NM,PNS,1,3,3,3,5,4,5,4,3,4,4,3.7,21,White,"Burlington, VT",Female,0,0,0,0,NM,No
128,17-Jul,Oakledge Park,HH,PNS,1,3,3,4,5,4,4,4,3,4,4,3.7,40,White,"Burlington, VT",Female,1,0,0.5,0,NM,No
129,17-Jul,Oakledge Park,EH,DK,1,3,3,4,4,4,4,3.8,2,1,2,1.7,22,White,"Worcester, MA",Male,1,0,0.5,0,NO,No
130,17-Jul,Oakledge Park,NM,PNS,1,3,3,4,4,5,4,4,4,3,2,3,32,White,"Burlington, VT",Male,0,1,0.5,5,NM,No
131,20-Jul,Leddy Park,HH,NM,1,1,3,4,4,4,3,3.6,2,1,2,1.7,24,White,"Burlington, VT",Female,0,0,0,0,NO,No
132,20-Jul,Leddy Park,EH,DK,1,3,1,5,4,5,5,4,3,3,2,2.7,35,White,"Berd, OR",Male,0,1,0.5,5,NM,No
133,20-Jul,Leddy Park,NM,DK,1,1,3,3,4,3,2,3,2,1,2,1.7,24,White,"Westford, VT",Female,0,0,0,0,NM,No
134,20-Jul,Leddy Park,HH,DK,1,1,1,3,5,4,4,3.4,3,1,2,2,21,White,"Burlington, VT",Female,0,0,0,0,NA,No
135,20-Jul,Leddy Park,EH,MU,1,5,1,5,5,3,5,3.8,5,5,5,5,42,Black,"Burlington, VT",Male,1,0,0.5,0,NM,No
136,20-Jul,Leddy Park,NM,MU,1,3,4,4,3,3,2,3.2,3,2,3,2.7,22,White,"Norwalk, CT",Female,0,0,0,0,NO,No
137,20-Jul,Leddy Park,HH,PNS,1,3,3,4,4,4,4,3.8,2,2,2,2,21,White,"Burlington, VT",Female,0,0,0,0,HH,No
138,20-Jul,Leddy Park,EH,MU,1,3,4,3,4,4,3,3.6,3,3,2,2.7,22,White,"Middlebury, VT",Male,0,1,0.5,5,NO,No
139,20-Jul,North Beach,NM,NM,1,5,5,5,5,5,5,5,4,2,2,2.7,41,White,"Richmond, VT",Female,0,1,0.5,5,NM,No
140,20-Jul,North Beach,HH,DK,1,1,2,3,3,2,2,2.4,1,1,1,1,23,White,"Fair Haven, VT",Female,0,0,0,0,NO,No
141,21-Jul,Oakledge Park,EH,NM,1,5,5,5,5,4,5,4.8,3,2,3,2.7,25,White,"Burlington, VT",Male,1,0,0.5,0,HH,No
142,21-Jul,Oakledge Park,NM,PNS,1,3,2,4,5,3,4,3.6,2,1,3,2,42,White,"Flagstaff, AZ",Female,1,0,0.5,0,NO,No
143,21-Jul,Leddy Park,HH,DK,1,3,2,4,4,3,4,3.4,3,1,2,2,22,White,"Burlington, VT",Female,1,0,0.5,0,NO,No
144,21-Jul,Leddy Park,EH,MU,1,3,3,4,4,4,4,3.8,3,3,3,3,55,White,"Richmond, VT",Female,1,0,0.5,0,HH,No
145,21-Jul,Leddy Park,NM,PNS,1,3,5,5,4,4,3,4.2,3,1,1,1.7,25,White,"Cochester, VT",Female,0,0,0,0,NO,No
146,21-Jul,Leddy Park,HH,PNS,1,3,3,3,5,4,5,4,4,4,4,4,21,White,"Nausha, NH",Female,1,1,1,5,NO,No
147,21-Jul,Leddy Park,EH,MU,1,5,3,3,5,4,5,4,4,1,2,2.3,22,White,"St. Albans, VT",Female,1,1,1,5,MU,No
